Date,Fixing Close,Close
04/10/2016,-0.737165,11208.94676
03/10/2016,-0.735293,11209.1757
30/09/2016,-0.744965,11209.87162
29/09/2016,-0.733168,11210.09992
28/09/2016,-0.734206,11210.32855
27/09/2016,-0.737877,11210.55833
26/09/2016,-0.737696,11210.78805
23/09/2016,-0.737637,11211.47722
22/09/2016,-0.739178,11211.70743
21/09/2016,-0.732882,11211.93568
20/09/2016,-0.741118,11212.1665
19/09/2016,-0.735752,11212.39565
16/09/2016,-0.735047,11213.0825
15/09/2016,-0.737565,11213.31223
14/09/2016,-0.743534,11213.54384
13/09/2016,-0.747114,11213.77656
12/09/2016,-0.742744,11214.00792
09/09/2016,-0.742546,11214.70187
08/09/2016,-0.739581,11214.93227
07/09/2016,-0.736691,11215.16178
06/09/2016,-0.742861,11215.39321
05/09/2016,-0.737761,11215.62305
02/09/2016,-0.741118,11216.31577
01/09/2016,-0.745344,11216.548
31/08/2016,-0.731087,11216.77579
30/08/2016,-0.73136,11217.00367
29/08/2016,-0.730721,11217.23135
26/08/2016,-0.739992,11217.92312
25/08/2016,-0.736062,11218.15248
24/08/2016,-0.735614,11218.38172
23/08/2016,-0.733865,11218.61041
22/08/2016,-0.737035,11218.8401
19/08/2016,-0.742505,11219.53431
18/08/2016,-0.740832,11219.7652
17/08/2016,-0.733686,11219.99386
16/08/2016,-0.739919,11220.22447
15/08/2016,-0.729947,11220.45198
12/08/2016,-0.731881,11221.13636
11/08/2016,-0.737081,11221.36611
10/08/2016,-0.737154,11221.59589
09/08/2016,-0.742434,11221.82732
08/08/2016,-0.737204,11222.05713
05/08/2016,-0.741835,11222.75091
04/08/2016,-0.745807,11222.98342
03/08/2016,-0.739083,11223.21383
02/08/2016,-0.7372,11223.44366
29/07/2016,-0.745432,11224.37333
28/07/2016,-0.741105,11224.6044
27/07/2016,-0.739375,11224.83494
26/07/2016,-0.741703,11225.06621
25/07/2016,-0.739255,11225.29672
22/07/2016,-0.743034,11225.99183
21/07/2016,-0.741021,11226.22291
20/07/2016,-0.755916,11226.45864
19/07/2016,-0.741874,11226.68999
18/07/2016,-0.760304,11226.9271
15/07/2016,-0.754906,11227.63342
14/07/2016,-0.740914,11227.8645
13/07/2016,-0.754404,11228.09979
12/07/2016,-0.76369,11228.33798
11/07/2016,-0.762309,11228.57575
08/07/2016,-0.749036,11229.27668
07/07/2016,-0.76319,11229.51474
06/07/2016,-0.745822,11229.74739
05/07/2016,-0.754462,11229.98274
04/07/2016,-0.753369,11230.21775
01/07/2016,-0.751887,11230.92145
30/06/2016,-0.765593,11231.1603
29/06/2016,-0.742333,11231.3919
28/06/2016,-0.754806,11231.62739
27/06/2016,-0.752085,11231.86204
24/06/2016,-0.77887,11232.5911
23/06/2016,-0.733967,11232.82011
22/06/2016,-0.732942,11233.04881
21/06/2016,-0.732943,11233.27751
20/06/2016,-0.737702,11233.50771
17/06/2016,-0.738247,11234.19884
16/06/2016,-0.740485,11234.42992
15/06/2016,-0.739246,11234.66062
14/06/2016,-0.73793,11234.89091
13/06/2016,-0.736764,11235.12085
10/06/2016,-0.732194,11235.80641
09/06/2016,-0.729284,11236.03403
08/06/2016,-0.733081,11236.26284
07/06/2016,-0.732816,11236.49157
06/06/2016,-0.728512,11236.71896
03/06/2016,-0.728929,11237.40157
02/06/2016,-0.728618,11237.62901
01/06/2016,-0.727241,11237.85603
31/05/2016,-0.729792,11238.08385
30/05/2016,-0.729264,11238.3115
27/05/2016,-0.728803,11238.99409
26/05/2016,-0.733903,11239.22321
25/05/2016,-0.729674,11239.45102
24/05/2016,-0.727005,11239.678
23/05/2016,-0.730322,11239.90602
20/05/2016,-0.731564,11240.59129
19/05/2016,-0.729667,11240.81913
18/05/2016,-0.733124,11241.04805
17/05/2016,-0.733024,11241.27694
13/05/2016,-0.732607,11242.19206
12/05/2016,-0.729506,11242.41988
11/05/2016,-0.7276,11242.6471
10/05/2016,-0.729423,11242.8749
09/05/2016,-0.726511,11243.1018
06/05/2016,-0.7249,11243.78102
04/05/2016,-0.726909,11244.2351
03/05/2016,-0.727516,11244.46234
02/05/2016,-0.72726,11244.6895
29/04/2016,-0.726368,11245.37019
28/04/2016,-0.726497,11245.59713
27/04/2016,-0.72225,11245.82275
26/04/2016,-0.733261,11246.05181
25/04/2016,-0.731425,11246.28031
22/04/2016,-0.727656,11246.9623
21/04/2016,-0.726297,11247.18921
20/04/2016,-0.725769,11247.41596
19/04/2016,-0.730945,11247.64434
18/04/2016,-0.729382,11247.87222
15/04/2016,-0.732737,11248.55908
14/04/2016,-0.732011,11248.78781
13/04/2016,-0.733747,11249.01708
12/04/2016,-0.734132,11249.24648
11/04/2016,-0.732215,11249.47529
08/04/2016,-0.73197,11250.16152
07/04/2016,-0.731473,11250.39012
06/04/2016,-0.733632,11250.61939
05/04/2016,-0.738006,11250.85003
04/04/2016,-0.739542,11251.08116
01/04/2016,-0.738163,11251.7733
31/03/2016,-0.737954,11252.00395
30/03/2016,-0.73255,11252.23292
29/03/2016,-0.731423,11252.46154
24/03/2016,-0.733267,11253.60763
23/03/2016,-0.730584,11253.83602
22/03/2016,-0.742067,11254.068
21/03/2016,-0.737293,11254.29849
18/03/2016,-0.73643,11254.9892
17/03/2016,-0.734316,11255.21878
16/03/2016,-0.733943,11255.44825
15/03/2016,-0.736302,11255.67846
14/03/2016,-0.734592,11255.90814
11/03/2016,-0.732724,11256.59547
10/03/2016,-0.736248,11256.82569
09/03/2016,-0.735632,11257.05572
08/03/2016,-0.735242,11257.28563
07/03/2016,-0.736711,11257.51601
04/03/2016,-0.733257,11258.20394
03/03/2016,-0.734087,11258.43351
02/03/2016,-0.731605,11258.66231
01/03/2016,-0.734701,11258.89209
29/02/2016,-0.733788,11259.12158
26/02/2016,-0.727245,11259.80397
25/02/2016,-0.73811,11260.03483
24/02/2016,-0.733206,11260.26417
23/02/2016,-0.733977,11260.49375
22/02/2016,-0.73107,11260.72243
19/02/2016,-0.732647,11261.40998
18/02/2016,-0.733035,11261.63929
17/02/2016,-0.731269,11261.86806
16/02/2016,-0.732861,11262.09732
15/02/2016,-0.731347,11262.32612
12/02/2016,-0.72775,11263.00917
11/02/2016,-0.730647,11263.23777
10/02/2016,-0.730339,11263.46627
09/02/2016,-0.728888,11263.69433
08/02/2016,-0.726222,11263.92155
05/02/2016,-0.729521,11264.60637
04/02/2016,-0.727606,11264.83404
03/02/2016,-0.725797,11265.06116
02/02/2016,-0.725206,11265.28809
01/02/2016,-0.727087,11265.51562
29/01/2016,-0.723007,11266.19442
28/01/2016,-0.727733,11266.42216
27/01/2016,-0.723908,11266.64872
26/01/2016,-0.727248,11266.87633
25/01/2016,-0.729351,11267.1046
22/01/2016,-0.730393,11267.79042
21/01/2016,-0.729366,11268.01871
20/01/2016,-0.725073,11268.24567
19/01/2016,-0.724785,11268.47253
18/01/2016,-0.7295,11268.70088
15/01/2016,-0.729796,11269.38624
14/01/2016,-0.726565,11269.61369
13/01/2016,-0.730137,11269.84226
12/01/2016,-0.730254,11270.07087
11/01/2016,-0.728906,11270.29907
08/01/2016,-0.73159,11270.98621
07/01/2016,-0.737945,11271.21726
06/01/2016,-0.737068,11271.44803
05/01/2016,-0.731414,11271.67704
04/01/2016,-0.730883,11271.90588
31/12/2015,-0.721086,11272.80907
30/12/2015,-0.733381,11273.03872
29/12/2015,-0.730768,11273.26755
28/12/2015,-0.726107,11273.49494
24/12/2015,-0.736631,11274.41772
23/12/2015,-0.728818,11274.64598
22/12/2015,-0.728773,11274.87422
21/12/2015,-0.726426,11275.10174
18/12/2015,-0.724648,11275.78265
17/12/2015,-0.726001,11276.01005
16/12/2015,-0.730877,11276.23898
15/12/2015,-0.731606,11276.46815
14/12/2015,-0.732825,11276.6977
11/12/2015,-0.729763,11277.38352
10/12/2015,-0.723695,11277.61023
09/12/2015,-0.724142,11277.83708
08/12/2015,-0.721567,11278.06313
07/12/2015,-0.725297,11278.29036
04/12/2015,-0.725157,11278.97194
03/12/2015,-0.725045,11279.19911
02/12/2015,-0.726026,11279.42659
01/12/2015,-0.727581,11279.65455
30/11/2015,-0.72187,11279.88074
27/11/2015,-0.720341,11280.55789
26/11/2015,-0.722427,11280.78427
25/11/2015,-0.733435,11281.0141
24/11/2015,-0.731626,11281.24337
23/11/2015,-0.734099,11281.47341
20/11/2015,-0.730854,11282.16055
19/11/2015,-0.726071,11282.3881
18/11/2015,-0.728868,11282.61653
17/11/2015,-0.734734,11282.84681
16/11/2015,-0.732166,11283.07628
13/11/2015,-0.729703,11283.76243
12/11/2015,-0.728697,11283.99084
11/11/2015,-0.732161,11284.22033
10/11/2015,-0.730526,11284.44932
09/11/2015,-0.726651,11284.6771
06/11/2015,-0.735504,11285.3688
05/11/2015,-0.729731,11285.59756
04/11/2015,-0.731051,11285.82675
03/11/2015,-0.728183,11286.05503
02/11/2015,-0.731937,11286.2845
30/10/2015,-0.724732,11286.96617
29/10/2015,-0.730606,11287.19524
28/10/2015,-0.730888,11287.4244
27/10/2015,-0.734391,11287.65466
26/10/2015,-0.738235,11287.88614
23/10/2015,-0.732543,11288.57525
22/10/2015,-0.733783,11288.80535
21/10/2015,-0.738311,11289.03687
20/10/2015,-0.734864,11289.26732
19/10/2015,-0.733805,11289.49744
16/10/2015,-0.730036,11290.18429
15/10/2015,-0.726692,11290.4122
14/10/2015,-0.726639,11290.6401
13/10/2015,-0.725879,11290.86776
12/10/2015,-0.73159,11291.09721
09/10/2015,-0.726722,11291.78105
08/10/2015,-0.727221,11292.00915
07/10/2015,-0.724437,11292.23639
06/10/2015,-0.728487,11292.4649
05/10/2015,-0.72655,11292.69281
02/10/2015,-0.721811,11293.37211
01/10/2015,-0.722893,11293.59889
30/09/2015,-0.719895,11293.82474
29/09/2015,-0.72005,11294.05063
28/09/2015,-0.722456,11294.27729
25/09/2015,-0.720588,11294.95554
24/09/2015,-0.722335,11295.18218
23/09/2015,-0.724213,11295.40941
22/09/2015,-0.722342,11295.63605
21/09/2015,-0.722311,11295.8627
18/09/2015,-0.723322,11296.54362
17/09/2015,-0.722336,11296.77028
16/09/2015,-0.723084,11296.99719
15/09/2015,-0.728264,11297.22573
14/09/2015,-0.726866,11297.45383
11/09/2015,-0.726816,11298.13814
10/09/2015,-0.72934,11298.36704
09/09/2015,-0.729924,11298.59613
08/09/2015,-0.729219,11298.825
07/09/2015,-0.725485,11299.0527
04/09/2015,-0.730989,11299.74103
03/09/2015,-0.725624,11299.9688
02/09/2015,-0.728066,11300.19733
01/09/2015,-0.730462,11300.42663
31/08/2015,-0.724588,11300.65408
28/08/2015,-0.722424,11301.33444
27/08/2015,-0.720213,11301.56054
26/08/2015,-0.73687,11301.79187
25/08/2015,-0.735795,11302.02287
24/08/2015,-0.729107,11302.25177
21/08/2015,-0.730045,11302.93941
20/08/2015,-0.731444,11303.16907
19/08/2015,-0.729218,11303.39803
18/08/2015,-0.727723,11303.62653
17/08/2015,-0.728893,11303.8554
14/08/2015,-0.728569,11304.54174
13/08/2015,-0.728585,11304.77053
12/08/2015,-0.732702,11305.00062
11/08/2015,-0.736022,11305.23176
10/08/2015,-0.736031,11305.4629
07/08/2015,-0.731781,11306.15237
06/08/2015,-0.733003,11306.38258
05/08/2015,-0.728416,11306.61136
04/08/2015,-0.732102,11306.8413
03/08/2015,-0.728826,11307.07021
31/07/2015,-0.738677,11307.76628
30/07/2015,-0.743545,11307.99983
29/07/2015,-0.740396,11308.2324
28/07/2015,-0.73737,11308.46403
27/07/2015,-0.740969,11308.69679
24/07/2015,-0.730715,11309.38545
23/07/2015,-0.740325,11309.61803
22/07/2015,-0.739068,11309.85022
21/07/2015,-0.744091,11310.08399
20/07/2015,-0.741318,11310.31689
17/07/2015,-0.747237,11311.02122
16/07/2015,-0.746234,11311.25569
15/07/2015,-0.745281,11311.48986
14/07/2015,-0.740702,11311.7226
13/07/2015,-0.735566,11311.95373
10/07/2015,-0.74847,11312.65933
09/07/2015,-0.731921,11312.88934
08/07/2015,-0.734132,11313.12004
07/07/2015,-0.741649,11313.35311
06/07/2015,-0.744863,11313.58719
03/07/2015,-0.741109,11314.28595
02/07/2015,-0.725548,11314.51399
01/07/2015,-0.719906,11314.74025
30/06/2015,-0.727129,11314.96879
29/06/2015,-0.723042,11315.19605
26/06/2015,-0.732449,11315.88675
25/06/2015,-0.724159,11316.11438
24/06/2015,-0.724043,11316.34197
23/06/2015,-0.724021,11316.56957
22/06/2015,-0.725053,11316.79749
19/06/2015,-0.726477,11317.48265
18/06/2015,-0.721277,11317.70941
17/06/2015,-0.723344,11317.93682
16/06/2015,-0.722505,11318.16397
15/06/2015,-0.723786,11318.39153
12/06/2015,-0.723754,11319.07421
11/06/2015,-0.720283,11319.30069
10/06/2015,-0.71872,11319.52667
