Selections
Start Date: 2022-04-28
End Date: 2026-05-28
Selected benchmarks: Compounded ZARONIA
Report Data: Rates
Date,1-week average,1-month average,3-month average,6-month average,9-month average,12-month average,Index
2025-11-24,6.75266,6.84852,6.90798,7.08001,7.27763,7.47448,126.263836034808
2025-11-21,6.85688,6.87187,6.91448,7.08958,7.28641,7.48006,126.195213497890
2025-11-20,6.85617,6.87200,6.91448,7.09240,7.28837,7.48309,126.171531274308
2025-11-19,6.85574,6.87435,6.91451,7.09522,7.29033,7.48610,126.147853495012
2025-11-18,6.85488,6.87388,6.91457,7.10360,7.29228,7.48913,126.124190523596
2025-11-17,6.85431,6.87343,6.91589,7.10365,7.29421,7.49753,126.100531990909
2025-11-14,6.84873,6.87271,6.91449,7.10920,7.29998,7.50121,126.029482438576
2025-11-13,6.84902,6.87271,6.91452,7.11203,7.30195,7.50424,126.005848574484
2025-11-12,6.84930,6.87493,6.91457,7.11486,7.30391,7.50726,125.982212240528
2025-11-11,6.85059,6.87467,6.91468,7.12307,7.30589,7.51029,125.958601041943
2025-11-10,6.85188,6.87437,6.91601,7.12324,7.30789,7.51857,125.934987369243
2025-11-07,6.85445,6.87472,6.91502,7.12913,7.31401,7.52247,125.864165499900
2025-11-06,6.85545,6.87482,6.91509,7.13198,7.31598,7.52548,125.840555743030
2025-11-05,6.85660,6.87685,6.91513,7.13481,7.31794,7.52848,125.816943522123
2025-11-04,6.85760,6.87636,6.91515,7.14307,7.31988,7.53148,125.793332285972
2025-11-03,6.85774,6.87583,6.91729,7.14329,7.32183,7.53962,125.769718590589
2025-10-31,6.86460,6.87641,6.91897,7.14932,7.32823,7.54359,125.698927709548
2025-10-30,6.86475,6.87583,6.92178,7.14959,7.33119,7.54660,125.675324850593
2025-10-29,6.86403,6.87573,6.92453,7.15248,7.33412,7.54960,125.651716098018
2025-10-28,6.86360,6.87668,6.92733,7.16330,7.33706,7.55260,125.628111780467
2025-10-27,6.86374,6.87612,6.93647,7.16362,7.34000,7.56068,125.604525659402
2025-10-24,6.86246,6.87620,6.93803,7.16702,7.34888,7.56463,125.533662766590
2025-10-23,6.86174,6.87559,6.94077,7.16990,7.35182,7.56764,125.510087501935
2025-10-22,6.86117,6.87552,6.94354,7.17276,7.35476,7.57065,125.486526976747
2025-10-21,6.86060,6.87629,6.94629,7.18519,7.35769,7.57365,125.462964000905
2025-10-20,6.85931,6.87569,6.95495,7.18562,7.36062,7.58159,125.439405449553
2025-10-17,6.85845,6.87401,6.95697,7.18682,7.36925,7.58564,125.368666608763
2025-10-16,6.85860,6.87411,6.95976,7.18970,7.37220,7.58865,125.345139497785
2025-10-15,6.85860,6.87418,6.96255,7.19258,7.37518,7.59166,125.321623667635
2025-10-14,6.85759,6.87658,6.96528,7.19546,7.37812,7.59468,125.298105384895
2025-10-13,6.85831,6.87627,6.97362,7.20308,7.38108,7.60252,125.274608673362
2025-10-10,6.85831,6.87492,6.97606,7.20691,7.38994,7.60669,125.203983336022
2025-10-09,6.85845,6.87481,6.97882,7.20978,7.39289,7.60969,125.180483701109
2025-10-08,6.85960,6.87492,6.98163,7.21266,7.39583,7.61271,125.156998761807
2025-10-07,6.86189,6.87607,6.98452,7.21557,7.39880,7.61573,125.133535366847
2025-10-06,6.86246,6.87559,6.99250,7.22300,7.40173,7.62343,125.110052381398
2025-10-03,6.85903,6.87404,6.99539,7.22704,7.41053,7.62771,125.039519815002
2025-10-02,6.85946,6.87394,6.99819,7.22993,7.41348,7.63073,125.016047623923
2025-10-01,6.86437,6.87381,7.00097,7.23280,7.41413,7.63376,124.992566143758
2025-09-30,6.86370,6.87689,7.00386,7.23564,7.41941,7.63677,124.969078804563
2025-09-29,6.86313,6.87630,7.01171,7.24291,7.42924,7.64456,124.945612991493
2025-09-26,6.86185,6.87656,7.01537,7.24942,7.43817,7.64906,124.875255193601
2025-09-25,6.86142,6.87640,7.01819,7.25228,7.43889,7.65209,124.851803578112
2025-09-23,6.85545,6.87721,7.02340,7.26400,7.44243,7.65803,124.804794911799
2025-09-22,6.85545,6.87677,7.03066,7.26486,7.44992,7.66568,124.781373618904
2025-09-19,6.86188,6.87699,7.03475,7.26950,7.45447,7.67100,124.711139038792
2025-09-18,6.86203,6.87699,7.03751,7.27234,7.45743,7.67473,124.687728490755
2025-09-17,6.86231,6.87813,7.04034,7.27520,7.46039,7.67846,124.664329166944
2025-09-16,6.86160,6.87759,7.04910,7.28203,7.46986,7.68219,124.640923991792
2025-09-15,6.86174,6.87716,7.04988,7.28300,7.47070,7.69177,124.617533451472
2025-09-12,6.85531,6.87576,7.05389,7.28943,7.47523,7.69710,124.547237625655
2025-09-11,6.85502,6.87569,7.05671,7.29226,7.47819,7.70083,124.523854433921
2025-09-10,6.85459,6.87676,7.05953,7.29510,7.48116,7.70457,124.500479042609
2025-09-09,6.85474,6.87633,7.06241,7.30178,7.48414,7.70832,124.477121678051
2025-09-08,6.85488,6.87583,7.06882,7.30284,7.49121,7.71775,124.453758468379
2025-09-05,6.86560,6.87605,7.07377,7.30965,7.49604,7.72334,124.383708290088
2025-09-04,6.86646,6.87608,7.07655,7.31248,7.49899,7.72707,124.360362613249
2025-09-03,6.86732,6.87977,7.07937,7.31534,7.50195,7.73081,124.337028129888
2025-09-02,6.86803,6.87941,7.08221,7.31651,7.50493,7.73455,124.313698024916
2025-09-01,6.86775,6.87897,7.08340,7.31768,7.50591,7.73552,124.290362083783
2025-08-29,6.86517,6.90158,7.09619,7.32588,7.51459,7.74940,124.220148771747
2025-08-28,6.86460,6.90979,7.10175,7.32709,7.51755,7.75313,124.196813381441
2025-08-27,6.86389,6.93174,7.10732,7.33000,7.52052,7.75687,124.173489177556
2025-08-26,6.86374,6.93284,7.11288,7.33292,7.52349,7.76063,124.150172754700
2025-08-25,6.86403,6.93418,7.12646,7.33586,7.52650,7.76987,124.126874310429
2025-08-22,6.85717,6.95711,7.13471,7.34607,7.53548,7.77558,124.056814498997
2025-08-21,6.85702,6.96519,7.14023,7.34741,7.53927,7.77931,124.033523382031
2025-08-20,6.85674,6.98378,7.14579,7.35030,7.54324,7.78306,124.010246828578
2025-08-19,6.85645,6.98652,7.15130,7.35320,7.54719,7.78679,123.986964454486
2025-08-18,6.85631,6.98952,7.16376,7.35606,7.55115,7.79578,123.963689847184
2025-08-15,6.85588,7.01378,7.17333,7.36607,7.56310,7.80174,123.893884977470
2025-08-14,6.85559,7.02173,7.17879,7.36752,7.56705,7.80547,123.870627842878
2025-08-13,6.85631,7.03688,7.18433,7.37043,7.57102,7.80921,123.847388643842
2025-08-12,6.85660,7.04134,7.18984,7.37331,7.57497,7.81294,123.824143629262
2025-08-11,6.85674,7.04612,7.20151,7.37618,7.57892,7.82425,123.800902977558
2025-08-08,6.86875,7.07039,7.21188,7.38646,7.59084,7.82781,123.731199938294
2025-08-07,6.90550,7.07863,7.21745,7.38804,7.59480,7.83153,123.707980119889
2025-08-06,6.94197,7.09048,7.22297,7.39093,7.59874,7.83526,123.684754495031
2025-08-05,6.97816,7.09653,7.22850,7.39381,7.60267,7.83899,123.661533230681
2025-08-04,7.01506,7.10306,7.23994,7.39668,7.60660,7.84775,123.638319712736
2025-08-01,7.11113,7.12505,7.24764,7.40240,7.61820,7.85375,123.568423995427
2025-07-31,7.11113,7.12547,7.25319,7.40708,7.62118,7.85674,123.544364999634
2025-07-30,7.11042,7.12464,7.25336,7.41000,7.62414,7.85974,123.520307304713
2025-07-29,7.10999,7.12690,7.25628,7.41292,7.62712,7.86273,123.496261060128
2025-07-28,7.10884,7.12602,7.26736,7.41584,7.63008,7.87061,123.472205968165
2025-07-25,7.10799,7.12584,7.26843,7.42750,7.63915,7.87473,123.400133528533
2025-07-24,7.10741,7.12594,7.27137,7.42782,7.64214,7.87771,123.376107299200
2025-07-23,7.10741,7.12604,7.27428,7.43075,7.64514,7.88070,123.352099263222
2025-07-22,7.10698,7.12765,7.27713,7.43367,7.64813,7.88369,123.328095899023
2025-07-21,7.10627,7.12706,7.28894,7.43659,7.65112,7.89137,123.304100583230
2025-07-18,7.10584,7.12661,7.29071,7.44776,7.66015,7.89561,123.232146514559
2025-07-17,7.10541,7.12671,7.29134,7.44821,7.66313,7.89859,123.208166492237
2025-07-16,7.10512,7.12867,7.29420,7.45113,7.66610,7.90157,123.184191136241
2025-07-15,7.10541,7.12815,7.29708,7.45410,7.66909,7.90457,123.160230566453
2025-07-14,7.10641,7.12773,7.30001,7.45704,7.67209,7.91227,123.136284776060
2025-07-11,7.10770,7.12765,7.30884,7.46840,7.68112,7.91663,123.064438745232
2025-07-10,7.10827,7.12788,7.31173,7.46898,7.68409,7.91965,123.040501468495
2025-07-09,7.10884,7.12815,7.31460,7.47191,7.68707,7.92268,123.016565478138
2025-07-08,7.10970,7.12956,7.31745,7.47482,7.69005,7.92572,122.992630775223
2025-07-07,7.11199,7.12897,7.32029,7.47772,7.69301,7.93336,122.968693992461
2025-07-04,7.11628,7.12855,7.32912,7.48882,7.70198,7.93781,122.896915459755
2025-07-03,7.11742,7.12855,7.33196,7.48948,7.70494,7.94082,122.872997305074
2025-07-02,7.11814,7.12858,7.33483,7.49241,7.70793,7.94384,122.849080440263
2025-07-01,7.11842,7.12787,7.33770,7.49308,7.71093,7.94685,122.825158137545
2025-06-30,7.11642,7.13072,7.34039,7.49825,7.71388,7.95437,122.801200128062
2025-06-27,7.11342,7.15464,7.35070,7.50929,7.72301,7.95886,122.729418549235
2025-06-26,7.11242,7.16259,7.35345,7.51665,7.72600,7.96187,122.705506103621
2025-06-25,7.11127,7.18486,7.35623,7.51740,7.72899,7.96488,122.681605038048
2025-06-24,7.11070,7.18577,7.35902,7.51817,7.73418,7.96791,122.657708628019
2025-06-23,7.11208,7.18691,7.36659,7.52111,7.73497,7.97528,122.633830309334
2025-06-20,7.10925,7.21086,7.37068,7.53012,7.74411,7.97994,122.562217038025
2025-06-19,7.10939,7.21884,7.37350,7.53306,7.74804,7.98295,122.538360665672
2025-06-18,7.11025,7.23715,7.37632,7.53601,7.75196,7.98597,122.514519004617
2025-06-17,7.11039,7.23981,7.37911,7.53894,7.75587,7.99550,122.490668561290
2025-06-13,7.11185,7.26661,7.39078,7.55095,7.77168,8.00116,122.395341033758
2025-06-12,7.11242,7.27449,7.39352,7.55392,7.77561,8.00418,122.371513791333
